importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
HEBEI HUATONG METAL MATERIAL CO LTD,CN,27,651249.98,0,0.0,0.0,"MINERAL RESOURCE TRADING LLC (MZ), Shipments: 23, Tonnage: 649.29 tons
MIR MINES&MINERALS (PK), Shipments: 4, Tonnage: 1.96 tons"
HEBEI HUATONG METAL MATERIAL CO LTD HANDAN BRANCH,CN,2,1407.0,0,0.0,0.0,"MULTI MINE&MINERALS (PK), Shipments: 1, Tonnage: 0.95 tons
USSA ENTERPRISES (PK), Shipments: 1, Tonnage: 0.46 tons"
HEBEI HUATONG METAL MATERIAL CO LTD HANDAN BRANCH CHINA,CN,1,362.7,0,0.0,0.0,"EASTCON ORES (PK), Shipments: 1, Tonnage: 0.36 tons"
HEBEI HUATONG METAL MATERIALS CO LTD,CN,6,2800.0,0,0.0,0.0,"AL HAMZA EXPORTS (PK), Shipments: 4, Tonnage: 1.79 tons
AL MEHRAN ENTERPRISES (PK), Shipments: 2, Tonnage: 1.01 tons"
HEBEI HUIYI TECHNOLOGY CO LTD,CN,34,984336.46,0,33.0,984.06,"GALLANT MINERALS (PTY) LTD (ZA), Shipments: 24, Tonnage: 714.96 tons
AFRICHINA DEVELOPMENT HOLDINGS (ZA), Shipments: 9, Tonnage: 269.10 tons
XIANG SHUN (SMC PRIVATE) LTD (PK), Shipments: 1, Tonnage: 0.28 tons"
HEBEI JIWU METAL INTL CO LTD,CN,69,1878870.0,0,0.0,0.0,"OAKTRON FZE (AL), Shipments: 69, Tonnage: 1878.87 tons"
HEBEI LOGISTIC GROUP METAL MATERIALS CO LTD,CN,4,4300.639999999999,0,0.0,0.0,"UNITED ENTERPRISES (PK), Shipments: 4, Tonnage: 4.30 tons"
HEBEI XIONG'AN JINTAIHE TRADING CO LTD,CN,3,0.0,0,0.0,0.0,"MARHAAB RESOURCES CO LTD (KE), Shipments: 3, Tonnage: 0.00 tons"
HEBEI ZHONGING COMPOSITE MATERIAL CO LTD,CN,2,201.46,0,0.0,0.0,"PACIFIC MINERALS (PK), Shipments: 2, Tonnage: 0.20 tons"
HEBEI ZHONGMING COMPOSITE MATERIAL CO,CN,2,601.8,0,0.0,0.0,"MDM ENTERPRISES (PK), Shipments: 1, Tonnage: 0.30 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 1, Tonnage: 0.30 tons"
HEBEI ZHONGMING COMPOSITE MATERIAL CO LTD,CN,11,2252.02,0,0.0,0.0,"MDM ENTERPRISES (PK), Shipments: 9, Tonnage: 1.85 tons
PACIFIC MINERALS (PK), Shipments: 2, Tonnage: 0.40 tons"
HENAN LITUO TRADING CO LTD,CN,1,30700.0,0,0.0,0.0,"INTERCROSS GROUP CO LTD (MZ), Shipments: 1, Tonnage: 30.70 tons"
