importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
NAUTILUS SHIPBROKING (PTY) LTD,KR,70,1668195.0,0,70.0,1668.195,"SAMCHROME FZE (ZA), Shipments: 66, Tonnage: 1579.17 tons
SAMCHROME FZE JAFZA VIEW 18 OFFICE 803 804 (ZA), Shipments: 4, Tonnage: 89.02 tons"
NINGBO HAITIAN HOLDING GROUP CO LTD,CN,47,32970.14,0,0.0,0.0,"GULF MINERALS FZE (PVT ) LTD (PK), Shipments: 20, Tonnage: 16.43 tons
H N METALS&MINERALS (PRIVATE) LTD (PK), Shipments: 6, Tonnage: 3.42 tons
MAX ORE SERVICES (PK), Shipments: 4, Tonnage: 3.38 tons
KAIZEN TRADERS (PK), Shipments: 6, Tonnage: 3.21 tons
A S K TRADERS (PK), Shipments: 5, Tonnage: 2.69 tons"
NINGBO ICYBAY METAL RESOURCES CO LTD,CN,16,467320.0,0,16.0,467.32,"OKING GROUP LTD (ZA), Shipments: 16, Tonnage: 467.32 tons"
NINGBO NAVIGATOR IMP&EXP CO LTD,CN,80,2198400.0,0,0.0,0.0,"BRIGHT LINK RESOURCES (H K ) LTD (MZ), Shipments: 40, Tonnage: 1089.20 tons
WTY KING LTD (MZ), Shipments: 20, Tonnage: 564.60 tons
BRIGHT LINK RESOURCES (H.K.) LIMITED (MZ), Shipments: 20, Tonnage: 544.60 tons"
NOVAREF REFRACTORY DEVELOPMENT JOINT STOCK COMPANY,VN,6,0.0,0,5.0,0.0,"MFG MATERIA GMBH (ZA), Shipments: 1, Tonnage: 0.00 tons
RAND YORK MINERALS (PTY) LTD (ZA), Shipments: 4, Tonnage: 0.00 tons
ZHENGZHOU HAIXU ABRASIVES CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
OCEAN NETWORK EXPRESS (CHINA) LTD CHENGDU,CN,18,530900.0,0,0.0,0.0,"MINERAL RESOURCE TRADING LLC (MZ), Shipments: 18, Tonnage: 530.90 tons"
OCEAN NETWORK EXPRESS (EAST ASIA) LTD,CN,60,1811815.0,0,0.0,0.0,"MINTECH RESOURCES (PK), Shipments: 60, Tonnage: 1811.82 tons"
ORIENT INTERNATIONAL HOLDING,CN,40,1142600.0,0,0.0,0.0,"HGSTARS COMPANY LTD (MZ), Shipments: 40, Tonnage: 1142.60 tons"
P S STEEL LTD PART,TH,2,54485.0,0,2.0,54.485,"SAMCHROME FZE (ZA), Shipments: 2, Tonnage: 54.48 tons"
PACIFIC LINKAGE (CHINA) LTD,CN,2,6320000.0,0,0.0,0.0,"AKSU GRUP MADENCILIK IC VE DIS TICARET ANONIM SIRKETI (TR), Shipments: 2, Tonnage: 6320.00 tons"
PAKLINK SHIPPING SERVICES,CN,143,4319210.0,0,0.0,0.0,"MINTECH RESOURCES ON BEHALF OF (PK), Shipments: 110, Tonnage: 3322.49 tons
UNIVERSAL MINE&MINERAL GROUPS (PK), Shipments: 33, Tonnage: 996.72 tons"
PINGXIANG WANWEI TUOXIN TRADING,CN,33,981090.0,0,33.0,981.09,"MINGBAO INVESTMENTS (PTY) LTD (ZA), Shipments: 33, Tonnage: 981.09 tons"
PIONEER EXPORTS LTD,CN,12,297999.99996000004,0,0.0,0.0,"BLUEGREY MINERALS PLC (DJ), Shipments: 12, Tonnage: 298.00 tons"
PIONEER RESOURCES LTD,CN,20,598855.0,0,0.0,0.0,"ONE ORE LTD (MZ), Shipments: 20, Tonnage: 598.86 tons"
PIONEER RESOURCES LTD RM2117 21/F C C WU BLDG 302 308 HENNESSY WANCHAI HONG KONG,CN,1,403700.0,0,0.0,0.0,"BLUE GREY MINERALS PLC (ET), Shipments: 1, Tonnage: 403.70 tons"
PIONSUN INTERNATIONAL PTE LTD,CN,20,14980.0,0,0.0,0.0,"ROCK MOUNT CORPORATION (PK), Shipments: 20, Tonnage: 14.98 tons"
POLYMETCORE TRADING SA,CN,51,111607085.0,0,0.0,0.0,"YILKROM MADEN VE ENERJI YATIRIM TICARET ANONIM SIRKETI (TR), Shipments: 51, Tonnage: 111607.09 tons"
PRIME GRAND INTERNATIONAL LTD,CN,53,1075656.62,0,36.0,1065.21,"ZOPCO SA (ZA), Shipments: 36, Tonnage: 1065.21 tons
NEW TOYAR MINERALS TRADING (SMC PRIVATE) LTD (PK), Shipments: 15, Tonnage: 9.52 tons
H N METALS&MINERALS (PRIVATE) LTD (PK), Shipments: 2, Tonnage: 0.92 tons"
PROSPERITY STEEL UNITED SINGAPORE PTE LTD,CN,1297,36099450.0,0,101.0,3008.34,"ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 1053, Tonnage: 29166.16 tons
KLC GEMI A LOJ HIZ SAN TIC LTD STI (TR), Shipments: 114, Tonnage: 3122.57 tons
SG AFRICAN MINERALS (PTY) LTD (ZA), Shipments: 64, Tonnage: 1910.04 tons
UZEL INTERNATIONAL (PTY) LTD (ZA), Shipments: 37, Tonnage: 1098.30 tons
ARKAS LOJISTIK ANONIM SIRKETI. (TR), Shipments: 29, Tonnage: 802.38 tons"
PT BARALOGAM MULTIJAYA,ID,4,25050.0,0,0.0,0.0,"TIANJIN EBOXLINE INTERNATIONAL TRANS (CN), Shipments: 1, Tonnage: 25.05 tons
HENAN SICHENG ABRASIVES TECH CO LTD (CN), Shipments: 3, Tonnage: 0.00 tons"
PT BENTENG API TECHNIC,ID,1,0.0,0,0.0,0.0,"HENAN CAIHUA INDUSTRIAL CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
PT GROWTH ASIA,ID,70,26230.0,0,61.0,26.23,"SAMCHROME FZE (ZA), Shipments: 28, Tonnage: 26.23 tons
FERRO STEEL (SUZHOU) TRADING CO LTD (CN), Shipments: 3, Tonnage: 0.00 tons
OREPLAN COMMODITIES (PTY) LTD (ZA), Shipments: 6, Tonnage: 0.00 tons
SAMCHROME FZE (AE), Shipments: 6, Tonnage: 0.00 tons
VOLCLAY TRADING (PTY) LTD (ZA), Shipments: 27, Tonnage: 0.00 tons"
PT GROWTH SUMATRA INDUSTRY,ID,8,0.0,0,8.0,0.0,"VOLCLAY TRADING (PTY) LTD (ZA), Shipments: 8, Tonnage: 0.00 tons"
PT GUNUNG MAS JAYA ARTHA,ID,1,0.0,0,0.0,0.0,"QINGDAO ESMART INTERNATIONAL TRADE CO L (CN), Shipments: 1, Tonnage: 0.00 tons"
PT HANAMPI SEJAHTERA KAHURIPAN,ID,19,555523.0,0,0.0,0.0,"THE WORLD FREIGHT SYSTEM (PK), Shipments: 19, Tonnage: 555.52 tons"
PT HANSA PRATAMA,ID,5,29204.0,0,5.0,29.204,"INDEPENDENT MINERAL DISTRIBUTORS (PTY) LTD (ZA), Shipments: 1, Tonnage: 29.20 tons
INDENPENDENT NIBERAL DISTRIBUTORS (PTY) LTD (ZA), Shipments: 1, Tonnage: 0.00 tons
INDEPENDENT MINERAL DISTRIBUTORS (PTY) L (ZA), Shipments: 3, Tonnage: 0.00 tons"
PT INDOPRIMA GEMILANG,ID,11,0.0,0,0.0,0.0,"CBK PRIMA TRADING CO LTD (CN), Shipments: 11, Tonnage: 0.00 tons"
PT INTER WORLD STEEL MILLS INDONESIA,ID,1,0.0,0,0.0,0.0,"JINCHENG REFRACTORY MATERIAL LTD (HK), Shipments: 1, Tonnage: 0.00 tons"
PT KANGAR CONSOLIDATED INDUSTRIES,ID,3,0.0,0,3.0,0.0,"PRINCE MINERALS SA (PTY) LTD (ZA), Shipments: 1, Tonnage: 0.00 tons
PRINCE MINERALS SA PTY LTD (ZA), Shipments: 2, Tonnage: 0.00 tons"
PT MULIAGLASS,ID,9,56400.0,0,9.0,56.4,"PRINCE MINERALS SA PTY LTD (ZA), Shipments: 2, Tonnage: 56.40 tons
AFRICAN PEGMATITE (PTY) LTD (ZA), Shipments: 2, Tonnage: 0.00 tons
PRINCE MINERALS SA (PTY) LTD (ZA), Shipments: 5, Tonnage: 0.00 tons"
PT NANYANG CHEMICAL TECHNOLOGY INDONESIA,ID,5,0.0,0,0.0,0.0,"HANGZHOU HILONGWEI TRADING CO LTD (CN), Shipments: 5, Tonnage: 0.00 tons"
PT QING FENG FERROCHROME,ID,1,0.0,0,0.0,0.0,"SCHUANG INTERNATIONAL DEVELOPMENT LTD (HK), Shipments: 1, Tonnage: 0.00 tons"
PT STOLLBERG SAMIL INDONESIA,ID,11,0.0,0,0.0,0.0,"DK INTERNATIONAL CO LTD (KR), Shipments: 11, Tonnage: 0.00 tons"
PT WANLI BOILER MATERIAL,ID,3,0.0,0,0.0,0.0,"CHANGSHU YUANXING BUSINESS DEPARTMENT (CN), Shipments: 1, Tonnage: 0.00 tons
CHANGSHU YUNYUZHAN BUSINESS DEPARTMENT (CN), Shipments: 2, Tonnage: 0.00 tons"
PT WEIJIE FIREPROOF MATERIAL,ID,7,0.0,0,0.0,0.0,"HANGZHOU YIMING TRADING CO LTD (CN), Shipments: 4, Tonnage: 0.00 tons
LUOYANG JINGYAO IMPORT&EXPORT TRADE CO LTD (CN), Shipments: 2, Tonnage: 0.00 tons
TONGLU ZHIZI TRADING CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
PY COMMODITIES FAR EAST PTE LTD,CN,26,740095.0,0,26.0,740.095,"PY COMMODITIES FAR EAST PTE LTD (ZA), Shipments: 16, Tonnage: 454.90 tons
PY COMMODITIES FAR EAST PTE. LTD. (ZA), Shipments: 10, Tonnage: 285.19 tons"
QATASPHERE L L C FZ,CN,4,1908.5,0,0.0,0.0,"A S K TRADERS (PK), Shipments: 4, Tonnage: 1.91 tons"
QING FENG FERROCHROME,ID,123,0.0,0,0.0,0.0,"ETERNAL TSINGSHAN GROUP LTD (HK), Shipments: 30, Tonnage: 0.00 tons
GOLDEN HARBOUR INTERNATIONAL PTE LTD (SG), Shipments: 25, Tonnage: 0.00 tons
HONG KONG RUI PU CO LTD (HK), Shipments: 62, Tonnage: 0.00 tons
SCHUANG INTERNATIONAL DEVELOPMENT LTD (HK), Shipments: 2, Tonnage: 0.00 tons
SHANGHAI DECENT INVESTMENT (GROUP) CO LTD (CN), Shipments: 2, Tonnage: 0.00 tons"
QINGDAO HONGJIN INTERNATIONAL TRADING CO LTD,CN,222,6575320.0,0,222.0,6575.32,"GLOBUSTARR TRADING COMPANY LLC (ZA), Shipments: 222, Tonnage: 6575.32 tons"
QINGHAI HIGH HOPE SUPPLY CHAIN CO,CN,103,2856605.0,0,0.0,0.0,"KINAY TAS VE LOJ AS (TR), Shipments: 60, Tonnage: 1667.80 tons
ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 43, Tonnage: 1188.81 tons"
RB SHIPPING SA (PTY) LTD,CN,47,1383375.0,0,47.0,1383.375,"CAPTURE METAL PTE LTD (ZA), Shipments: 27, Tonnage: 804.31 tons
ASIA STEEL&METALS LTD (ZA), Shipments: 20, Tonnage: 579.07 tons"
RELIANT RESOURCES (TIANJIN) TRADING INTERNATIONAL CO LTD,CN,32,954852.0,0,6.0,176.672,"CARBONES HOLDING GMBH (MG), Shipments: 13, Tonnage: 389.09 tons
SAMBHIC RESOURCES FZC (ZA), Shipments: 6, Tonnage: 176.67 tons"
RESOCO REFRACTORY SOLUTION JOINT STOCK COMPANY,VN,1,0.0,0,0.0,0.0,"HENAN SICHENG ABRASIVES TECH CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
RICH STONE SUPER CHAIN PTE LTD,CN,20,604600.0,0,0.0,0.0,"SEASHI TRANSPORT PVT LTD (MZ), Shipments: 20, Tonnage: 604.60 tons"
ROCK TEAM INDUSTRY (VIETNAM) CO LTD,VN,2,0.0,0,0.0,0.0,"UNIVERSAL MAX CORP. (TW), Shipments: 2, Tonnage: 0.00 tons"
S F EXPRESS GROUP (SHANGHAI) CO LTD,CN,4,180.0,0,0.0,0.0,"ASIATRANS INTERNATIONAL EXPRESS&LOGISTICS (PK), Shipments: 4, Tonnage: 0.18 tons"
SAM RI CO LTD,KR,6,133380.0,0,6.0,133.38,"SAMCHROME FZE (ZA), Shipments: 6, Tonnage: 133.38 tons"
SAMBHIC RESOURCES FZC SHANGHAI REPRESENTATIVE OFFICE,CN,471,13559060.0,0,98.0,2884.0,"SAMBHIC RESOURCES FZC (OM), Shipments: 373, Tonnage: 10675.06 tons
SAMBHIC RESOURCES FZC (ZA), Shipments: 98, Tonnage: 2884.00 tons"
SAMCHROME,KR,5,111400.0,0,5.0,111.4,"SAMCHROME FZE (ZA), Shipments: 5, Tonnage: 111.40 tons"
SAMRI CO LTD,KR,57,1252886.0,0,57.0,1252.886,"ALPHA SHIPPING AGENCY (PTY) LTD DUR (ZA), Shipments: 30, Tonnage: 630.60 tons
INDEPENDENT MINERAL DISTRIBUTORS (ZA), Shipments: 10, Tonnage: 235.72 tons
SAMCHROME FZE (ZA), Shipments: 9, Tonnage: 200.49 tons
INDEPENDENT MINERAL DISTRIBUTORS (PTY) LTD (ZA), Shipments: 8, Tonnage: 186.09 tons"
SEALINKS SHIPPING,CN,50,1493340.0,0,0.0,0.0,"UNIVERSAL MINERALS TRADING COMPANY (PK), Shipments: 33, Tonnage: 996.92 tons
H N METALS&MINERALS (PRIVATE) LTD (PK), Shipments: 17, Tonnage: 496.42 tons"
SEOJIN VIET NAM LTD COMPANY,VN,2,0.0,0,1.0,0.0,"SEOJIN SYSTEM CO LTD (ZA), Shipments: 1, Tonnage: 0.00 tons
SEOJIN SYSTEM CO. LTD. (KR), Shipments: 1, Tonnage: 0.00 tons"
SHAANXI FOREIGN TRADE IMP&EXP GROUP CO LTD,CN,17,509660.0,0,0.0,0.0,"GOLDFU RESOURCES CORPORATION (MZ), Shipments: 17, Tonnage: 509.66 tons"
SHANDONG TINGSHENG ENVIRONMENTAL,CN,45,1337850.0,0,45.0,1337.85,"BEST ERA INTERNATIONAL HOLDINGS (ZA), Shipments: 45, Tonnage: 1337.85 tons"
SHANDONG XINXU INTERNATIONAL CORPORATION LTD,CN,14,2431.568,0,0.0,0.0,"GOLD EARTH ENGINEERING (SMC PRIVATE) LTD (PK), Shipments: 14, Tonnage: 2.43 tons"
SHANGHAI HAZEL JIN INTERNATIONAL,CN,83,2342090.0,0,0.0,0.0,"REFINE TRADING LTD (MZ), Shipments: 83, Tonnage: 2342.09 tons"
SHANGHAI HONGXU INTERNATIONAL,CN,18,543600.0,0,0.0,0.0,"IGOR LOGISTICS&SERVICES LTD (NG), Shipments: 18, Tonnage: 543.60 tons"
SHANGHAI YISHEN INTERNATIONAL,CN,117,3185910.0,0,0.0,0.0,"CHINA ZIM INTERNATIONAL SMELTING (MZ), Shipments: 87, Tonnage: 2369.01 tons
CHINA-ZIM INTERNATIONAL SMELTING (MZ), Shipments: 30, Tonnage: 816.90 tons"
SHANGRAO AIQIMENG TRADING CO LTD,CN,9,284580.0,0,9.0,284.58,"MOMENTSKY COMPANY LTD (ZA), Shipments: 9, Tonnage: 284.58 tons"
SHANXI COKING COAL GROUP INTERNATIONAL TRADING CO LTD,CN,37,1098985.0,0,37.0,1098.985,"UZEL INTERNATIONAL (PTY) LTD (ZA), Shipments: 37, Tonnage: 1098.98 tons"
SHANXI JINJIAXIN TRADING CO LTD,CN,2,980.0,0,0.0,0.0,"S L M ENTERPRISES (PK), Shipments: 2, Tonnage: 0.98 tons"
SICHUAN CMOSA MINERALS CO LTD,CN,53,1575690.0,0,53.0,1575.69,"LANKERS INTERNATIONAL PTE LTD (ZA), Shipments: 53, Tonnage: 1575.69 tons"
SICHUAN HEADSPRING TRADING CO LTD,CN,90,2172128.0,0,73.0,2162.44,"NIKTANYA INTERNATIONAL LTD (ZA), Shipments: 73, Tonnage: 2162.44 tons
USSA ENTERPRISES (PK), Shipments: 4, Tonnage: 2.77 tons
AL HAMZA MINERAL COMPANY (PK), Shipments: 5, Tonnage: 2.41 tons
INDUS MINERAL (PK), Shipments: 2, Tonnage: 1.85 tons
AL HAMZA EXPORTS (PK), Shipments: 3, Tonnage: 1.65 tons"
SICHUAN HEADSPRINGS TRADING CO LTD,CN,2,2184.0,0,0.0,0.0,"MARVEL ENTERPRISE (PK), Shipments: 2, Tonnage: 2.18 tons"
SICHUAN MINGDA (GROUP) ENTERPRISES CO LTD,CN,116,3329015.0,0,112.0,3324.535,"KMG MINERALS TRADING (PTY) LTD (ZA), Shipments: 74, Tonnage: 2194.80 tons
KMG MINERAL TRADING (PTY) LTD (ZA), Shipments: 38, Tonnage: 1129.74 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 4, Tonnage: 4.48 tons"
SICHUAN MINGDA GROUP EBIAN ALLOY CO LTD,CN,5,5484.0,0,0.0,0.0,"INDUS MINERAL (PK), Shipments: 5, Tonnage: 5.48 tons"
SICHUAN QIANZHOU MINING CO LTD,CN,36,948968.57,0,34.0,948.03,"REDDY KASI REDDY RAMESHWARA REDDY (PROP R K RAMESHWARA REDDY_)  (ZA), Shipments: 34, Tonnage: 948.03 tons
GLOBAL ENTERPRISES (PK), Shipments: 2, Tonnage: 0.94 tons"
SICHUAN YUANMULIN INTERNATIONAL TRADING CO LTD,CN,17,454358.0,0,0.0,0.0,"MARVEL ENTERPRISE (PK), Shipments: 17, Tonnage: 454.36 tons"
SINO SHINE OVERSEAS ENGINEERING,CN,9,254070.0,0,0.0,0.0,"TAKELA GROUPS (PVT) LTD (MZ), Shipments: 9, Tonnage: 254.07 tons"
SINO TRUST HOLDINGS CORP LTD,CN,9,262520.0,0,9.0,262.52,"ORE&METAL COMPANY LTD (ZA), Shipments: 9, Tonnage: 262.52 tons"
SINOMINE RESOURCE (HAINAN) LITHIUM,CN,37,1007510.0,0,0.0,0.0,"XINGLONG (HONG KONG) INTERNATIONAL (MZ), Shipments: 37, Tonnage: 1007.51 tons"
SINOSTEEL INTERNATIONAL HOLDING COMPANY LTD,CN,650,18992529.53,0,0.0,0.0,"GLOBAL METAL SERVICE LTD (MZ), Shipments: 452, Tonnage: 13256.96 tons
GLOBAL METAL SERVICE LTD. (MZ), Shipments: 195, Tonnage: 5699.85 tons
GLOBAL METAL SERVICE LTD (SG), Shipments: 2, Tonnage: 34.46 tons
MARVEL AGRO COMMODITIES (PK), Shipments: 1, Tonnage: 1.26 tons"
SINOSTEEL NMC INTELLIGENT EQUIPMENT,CN,2,0.0,0,0.0,0.0,"FERRO ALLOYS CORPORATION LIMITED (IN), Shipments: 2, Tonnage: 0.00 tons"
SINOSTEEL RESOURCES CO LTD,CN,115,3418950.0,0,0.0,0.0,"GLOBAL METAL SERVICE LTD (MZ), Shipments: 115, Tonnage: 3418.95 tons"
SINOSTEEL ZHEJIANG CO LTD,CN,52,1442460.0,0,35.0,984.0,"MERIDIAN SHIPPING (ZA), Shipments: 19, Tonnage: 522.40 tons
ZOPCO SA (ZA), Shipments: 16, Tonnage: 461.60 tons
RELOAD AQUARIUS SHIPPING INTERNATIONAL (PTY) LTD (MZ), Shipments: 16, Tonnage: 457.20 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 1, Tonnage: 1.26 tons"
SMART SUCCESS CREATION PTE LTD,CN,4,3640.0,0,0.0,0.0,"M/S ASIAN MINES&MINERALS (PK), Shipments: 4, Tonnage: 3.64 tons"
SPECTRUM TRADING LLC FZ,CN,13,17981835.0,0,0.0,0.0,"DELOR MADENCILIK SANTIC AS (TR), Shipments: 13, Tonnage: 17981.83 tons"
STANDARD TRADEWAYS CO LTD,CN,43,14177.460000000001,0,0.0,0.0,"M/S ASIAN MINES&MINERALS (PK), Shipments: 9, Tonnage: 4.81 tons
GLOBAL ENTERPRISES (PK), Shipments: 11, Tonnage: 3.81 tons
MDM ENTERPRISES (PK), Shipments: 14, Tonnage: 3.61 tons
PACIFIC MINERALS (PK), Shipments: 7, Tonnage: 1.23 tons
MARVEL ENTERPRISE (PK), Shipments: 1, Tonnage: 0.53 tons"
STAR TURQUOISE INTERNATIONAL METAL ORES TRADING LLC,CN,35,1039980.0,0,35.0,1039.98,"AURIC MINING (PTY) LTD (ZA), Shipments: 35, Tonnage: 1039.98 tons"
SUMIKA POLYMER COMPOUNDS (THAILAND) CO LTD,TH,1,24180.0,0,0.0,0.0,"FAITH MINERALS (PVT ) LTD (PK), Shipments: 1, Tonnage: 24.18 tons"
SUMITOMO METAL MINING CO LTD,CN,4,100950000.0,0,0.0,0.0,"TAGANITO HPAL NICKEL CORPORATION (PH), Shipments: 4, Tonnage: 100950.00 tons"
THAI ALLOY&ASSOCIATES CO LTD,TH,6,175624.0,0,6.0,175.624,"INDEPENDENT MINERAL DISTRIBUTORS (PTY) LTD (ZA), Shipments: 6, Tonnage: 175.62 tons"
THAI GLASS INDUSTRIES PUBLIC COMPANY LTD,TH,14,384340.0,0,14.0,384.34,"KIMPE SARL (ZA), Shipments: 14, Tonnage: 384.34 tons"
THAI MALAYA GLASS CO LTD,TH,8,219780.0,0,8.0,219.78,"KIMPE SARL (ZA), Shipments: 8, Tonnage: 219.78 tons"
THANG LOI COMPANY LTD,VN,1,0.0,0,0.0,0.0,"KUPPER CORPORATION LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
THE BRANCH OF MALAYA VIETNAM GLASS LTD,VN,2,0.0,0,2.0,0.0,"MALAYA GLASS PRODUCTS SDN BHD (ZA), Shipments: 2, Tonnage: 0.00 tons"
THE ECONOMIC TRADING GROUP OF HAICHENG HOUYING CORPORATION LTD,CN,2,495.0,0,0.0,0.0,"USSA ENTERPRISES (PK), Shipments: 2, Tonnage: 0.49 tons"
THEMBA DRY CARGO,CN,11,320860.0,0,11.0,320.86,"ORE&METAL COMPANY LTD AS AGENT FOR DWARSRIVIER CHROME MINE (ZA), Shipments: 11, Tonnage: 320.86 tons"
TIANJIN BETHEL MINING CO LTD,CN,40,1169200.0,0,40.0,1169.2,"GLOBUSTARR TRADING COMPANY LLC (ZA), Shipments: 40, Tonnage: 1169.20 tons"
TIANJIN BORUNHONG INTERNATIONAL TRADE CO LTD,CN,8,0.0,0,0.0,0.0,"NATURAL EARTH RESOURCES (AFRICA) LTD (KE), Shipments: 8, Tonnage: 0.00 tons"
TIANJIN CHENGSHI IMPORT&EXPORT CO LTD,CN,2,1061.48,0,0.0,0.0,"QAZI MINES&MINERALS (PK), Shipments: 2, Tonnage: 1.06 tons"
TIANJIN HACKBERRY INTERNATIONAL TRADING CO LTD,CN,41,1218865.0,0,41.0,1218.865,"AURIC MINING (PTY) LTD (ZA), Shipments: 34, Tonnage: 1011.14 tons
ZOPCO SA (ZA), Shipments: 7, Tonnage: 207.72 tons"
TIANJIN IMPALIVA CO LTD,CN,1,50000.0,0,0.0,0.0,"OPHIR MINERAL VENTURES INC (PH), Shipments: 1, Tonnage: 50.00 tons"
TIANJIN NEW CREATOR INTERNATIONAL TRADE CO LTD,CN,40,1187750.0,0,40.0,1187.75,"ZOPCO SA (ZA), Shipments: 40, Tonnage: 1187.75 tons"
TIANJIN ZHONGBO INDUSTRIAL CO LTD,CN,19,582540.0,0,0.0,0.0,"BEST TRADE INTEGRITY (PRIVATE) LTD (MZ), Shipments: 19, Tonnage: 582.54 tons"
TONGLING XUANTONG IMPORT&EXPORT,CN,2,114010.0,0,0.0,0.0,"12KS OPC (PH), Shipments: 2, Tonnage: 114.01 tons"
TRADUST METAL ORES TRADING CO LLC,CN,1,298000.0,0,0.0,0.0,"BLUE GREY MINERALS PLC (ET), Shipments: 1, Tonnage: 298.00 tons"
TRANSCOM SHARAF LOGISTICA LDA,CN,25,742040.0,0,0.0,0.0,"XING HE COMPANY LTD (MZ), Shipments: 25, Tonnage: 742.04 tons"
TRASTEEL INTERNATIONAL SA,CN,2,1064.0,0,0.0,0.0,"UNIVERSAL MINERALS TRADING COMPANY (PK), Shipments: 2, Tonnage: 1.06 tons"
TRAXYS FAR EAST,CN,1,1046320.0,0,0.0,0.0,"FERSAN MADENCILIK TARIMSAL ÜR SAN VE DISTIC LTD STI (TR), Shipments: 1, Tonnage: 1046.32 tons"
TRAXYS FAR EAST LTD,CN,7,3045100.0,0,0.0,0.0,"FERSAN MADENCILIK TARIMSAL ÜR SAN VE DISTIC LTD STI (TR), Shipments: 7, Tonnage: 3045.10 tons"
TRI STONE KOREA CO LTD,KR,4,528.0,0,0.0,0.0,"SAREMCO INTERNATIONAL (PK), Shipments: 4, Tonnage: 0.53 tons"
UNISPACE INDUSTRIAL DEVELOPMENT CO LTD,CN,2,1021350.0,0,0.0,0.0,"GÜZELDAĞ MÜTEAHHİTLİK YAPI DONANIM İNŞAAT TAAHHÜT MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ (TR), Shipments: 2, Tonnage: 1021.35 tons"
UNITED MINERAL ENTERPRISES CO LTD,CN,2,1105.56,0,0.0,0.0,"NEW TOYAR MINERALS TRADING (SMC PRIVATE) LTD (PK), Shipments: 2, Tonnage: 1.11 tons"
VICO CASTING EXPORT COMPANY LTD,VN,10,0.0,0,1.0,0.0,"KUPPER CORPORATION LIMITED (CN), Shipments: 1, Tonnage: 0.00 tons
KUPPER CORPORATION LTD (CN), Shipments: 5, Tonnage: 0.00 tons
RAND YORK MINERALS (PTY) LTD (ZA), Shipments: 1, Tonnage: 0.00 tons
ZHENGZHOU HAIXU ABRASIVES CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons
ZHENGZHOU HAIXU ABRASIVES CO. LTD (CN), Shipments: 2, Tonnage: 0.00 tons"
VIP LOG PTY LTD,CN,72,2127645.0,0,72.0,2127.645,"BAOSTEEL RESOURCES SOUTH AFRICA (PTY) LTD (ZA), Shipments: 72, Tonnage: 2127.64 tons"
WANXIANG QIANCHAO CO LTD,CN,84,20101980.0,0,0.0,0.0,"CVK MINERAL MADENCILIK NAKLIYECILIK INSAAT TAAHHUT VE SANAYI TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 9049.15 tons
HAYRI OGELMAN MADENCILIK ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 5446.48 tons
MANOLYA MADENCILIK ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 2172.28 tons
ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 78, Tonnage: 2172.25 tons
CVK MADEN ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 1260.00 tons"
WEALTHLINES CORPORATION (HK) LTD,CN,2,2080.0,0,0.0,0.0,"DELTA RESOURCES (PK), Shipments: 2, Tonnage: 2.08 tons"
WOGEN METAL COMMERCIAL (SHANGHAI) LTD,CN,51,1531060.0,0,0.0,0.0,"WOGEN RESOURCES LTD (TR), Shipments: 51, Tonnage: 1531.06 tons"
WOGEN RESOURCES LTD,CN,5,3937795.0,0,0.0,0.0,"ORHUN METAL MADENCILIK INSAAT SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 3, Tonnage: 2992.28 tons
DELTA STAR ENERJI VE MADENCILIK SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 2, Tonnage: 945.51 tons"
XIAMEN C&D MATERIAL,CN,70,1993600.0,0,70.0,1993.6,"GLOBUSTARR TRADING COMPANY LLC (ZA), Shipments: 70, Tonnage: 1993.60 tons"
XIAMEN ITG GROUP CORP LTD,CN,234,51610810.8,0,38.0,1129.42,"CVK MADEN ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 8, Tonnage: 26872.29 tons
HAYRI OGELMAN MADENCILIK ANONIM SIRKETI (TR), Shipments: 7, Tonnage: 19195.30 tons
KINAY TAS VE LOJ AS (TR), Shipments: 118, Tonnage: 3278.96 tons
STAMCORP INTERNATIONAL PTE LTD (ZA), Shipments: 38, Tonnage: 1129.42 tons
AWTAD MINING LLC (OM), Shipments: 40, Tonnage: 1089.20 tons"
